task_id,priority,description,dependencies,current_status,implementation_evidence,ui_evidence,test_evidence,deployment_evidence,hardware_validation_requirement,external_blocker,next_action
COMM-15,P3,15. Multiple builds per user,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §15](specs/community-profiles-leaderboards.md#15-multiplebuildsperuser).
COMM-16,P3,16. Global leaderboard UI,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §16](specs/community-profiles-leaderboards.md#16-globalleaderboardui).
COMM-17,P3,17. In-app leaderboard integration,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §17](specs/community-profiles-leaderboards.md#17-in-appleaderboardintegration).
COMM-18,P3,18. Community build page,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §18](specs/community-profiles-leaderboards.md#18-communitybuildpage).
COMM-19,P3,19. Photos,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §19](specs/community-profiles-leaderboards.md#19-photos).
COMM-20,P4,20. Affiliate links,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §20](specs/community-profiles-leaderboards.md#20-affiliatelinks).
COMM-21,P4,21. Hardware popularity statistics,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §21](specs/community-profiles-leaderboards.md#21-hardwarepopularitystatistics).
COMM-22,P4,22. Reliability statistics,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §22](specs/community-profiles-leaderboards.md#22-reliabilitystatistics).
COMM-23,P4,23. Used hardware insights,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §23](specs/community-profiles-leaderboards.md#23-usedhardwareinsights).
COMM-24,P4,24. Optional purchase-source field,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §24](specs/community-profiles-leaderboards.md#24-optionalpurchase-sourcefield).
COMM-25,P4,25. Purchase price,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §25](specs/community-profiles-leaderboards.md#25-purchaseprice).
COMM-26,P4,26. Value leaderboard,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §26](specs/community-profiles-leaderboards.md#26-valueleaderboard).
COMM-27,P3,27. Leaderboard integrity,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §27](specs/community-profiles-leaderboards.md#27-leaderboardintegrity).
COMM-28,P3,28. Anti-cheat,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §28](specs/community-profiles-leaderboards.md#28-anti-cheat).
COMM-29,P3,29. Public ranking privacy,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §29](specs/community-profiles-leaderboards.md#29-publicrankingprivacy).
COMM-30,P3,30. Profile/leaderboard consent,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §30](specs/community-profiles-leaderboards.md#30-profileleaderboardconsent).
COMM-31,P3,31. Account deletion and unclaim,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §31](specs/community-profiles-leaderboards.md#31-accountdeletionandunclaim).
COMM-32,P4,32. Public API,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §32](specs/community-profiles-leaderboards.md#32-publicapi).
COMM-33,P4,33. Gamification must not encourage unsafe behavior,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §33](specs/community-profiles-leaderboards.md#33-gamificationmustnotencourageunsafebehavior).
COMM-34,P3,34. Implementation tests,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §34](specs/community-profiles-leaderboards.md#34-implementationtests).
COMM-35,P3,35. End-to-end scenario,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §35](specs/community-profiles-leaderboards.md#35-end-to-endscenario).
COMM-36,P4,36. Final product philosophy,,NOT STARTED,,,,,None identified,,Implement and prove: Implement and prove every requirement in [COMM §36](specs/community-profiles-leaderboards.md#36-finalproductphilosophy).
LIFE-01,P1,Storage Group persistence,,VERIFIED,SOFTWARE VERIFIED — migration/service/API/UI tests,See roadmap acceptance evidence,SOFTWARE VERIFIED — migration/service/API/UI tests,,None identified,,None; preserve with regression coverage
LIFE-02,P1,Physical disk registry,LIFE-01,VERIFIED,SOFTWARE VERIFIED — path-renumber test,,SOFTWARE VERIFIED — path-renumber test,,None identified,,None; preserve with regression coverage
LIFE-03,P1,Backend identity and stable namespace,LIFE-02,VERIFIED,SOFTWARE VERIFIED — derived identity and namespace tests,,SOFTWARE VERIFIED — derived identity and namespace tests,,None identified,,None; preserve with regression coverage
LIFE-04,P1,Assignment and activation,LIFE-03,VERIFIED,"SOFTWARE VERIFIED — activation now requires an immutable API/UI preflight proving an exact managed mount belongs to the assigned stable disk/logical-storage identity; mismatches, symlinks, missing mounts, unmanaged paths, and critical health fail closed, and accepted evidence is persisted with lifecycle/audit history",See roadmap acceptance evidence,,,None identified,,None; preserve with regression coverage
LIFE-05,P1,Preferred-write invariant,LIFE-04,VERIFIED,SOFTWARE VERIFIED — two-backend invariant test,,SOFTWARE VERIFIED — two-backend invariant test,,None identified,,None; preserve with regression coverage
LIFE-06,P1,"Drain, verify, read-only, and retire states",LIFE-05,VERIFIED IN ISOLATION,VERIFIED IN ISOLATION — durable operation owns each guarded transition; two-loop ext4 CI completed,,,,None identified,,Implement and prove: Model DRAIN → VERIFY → READ-ONLY → RETIRE without permitting unsafe direct skips.
LIFE-07,P1,Optional reuse/wipe linkage,LIFE-06,VERIFIED,SOFTWARE VERIFIED — verified retirement can be explicitly released for reuse through authenticated API/UI with exact confirmation and audit evidence; the historical backend is retained while its uniqueness claim is detached; capability-aware wipe remains a separate destructive plan,See roadmap acceptance evidence,,,None identified,,None; preserve with regression coverage
LIFE-08,P1,Storage lifecycle API,LIFE-07,VERIFIED,SOFTWARE VERIFIED — drain start/progress/pause/resume and bounded immutable-plan contracts included,,,,None identified,,None; preserve with regression coverage
LIFE-09,P1,Storage Groups UI,LIFE-08,VERIFIED,"SOFTWARE VERIFIED — create/assign plus mounted-storage activation review, immutable identity evidence, blocked/error states, prefer, drain approval/progress/pause/resume, and final report states",,,,None identified,,None; preserve with regression coverage
LIFE-10,P1,Lifecycle events and audit,LIFE-09,VERIFIED,"SOFTWARE VERIFIED — lifecycle and operation events preserve actor, plan ownership, phases, and sanitized report details",,,,None identified,,None; preserve with regression coverage
LIFE-11,P1,Discovery reconciliation,LIFE-10,VERIFIED,"SOFTWARE VERIFIED — worker scan hook, unstable-device skip, and renumbering tests",,"SOFTWARE VERIFIED — worker scan hook, unstable-device skip, and renumbering tests",,None identified,,None; preserve with regression coverage
LIFE-12,P1,Lifecycle end-to-end validation,LIFE-11,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — real browser covers activation review for both exact-mounted backends, preferred-write, durable drain/pause/resume/report/retirement, and explicit release; hosted Ubuntu run `32660386715` recreated two loop-backed ext4 filesystems and passed immutable activation, write placement, pause/resume, worker restart recovery, verification, retirement, unchanged namespace, and hashes; wipe remains intentionally independent and capability-gated",See roadmap acceptance evidence,"VERIFIED IN ISOLATION — real browser covers activation review for both exact-mounted backends, preferred-write, durable drain/pause/resume/report/retirement, and explicit release; hosted Ubuntu run `32660386715` recreated two loop-backed ext4 filesystems and passed immutable activation, write placement, pause/resume, worker restart recovery, verification, retirement, unchanged namespace, and hashes; wipe remains intentionally independent and capability-gated",,None identified,,"Implement and prove: Prove add, assign, activate, prefer, drain, verify, read-only, retire, and optional reuse/wipe behavior."
LIFE-13,P1,Guided disk onboarding lifecycle,LIFE-12,VERIFIED,"SOFTWARE VERIFIED — browser E2E follows a detected data-bearing ext4 disk through honest used/foreign classification, Import existing data, preserve-data immutable review, no partition/filesystem creation, no destructive consent, durable apply, refresh/recovery, and the stable `/data/media` namespace; loading/error/Activity behavior and backend invariants remain covered",See roadmap acceptance evidence,,,None identified,,None; preserve with regression coverage
LIFE-14,P1,Provider-aware failed-disk replacement,LIFE-13,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — SnapRAID, ZFS, and Linux MD share authenticated immutable review, exact destructive consent, stable replacement identity, live provider identity/topology revalidation, durable Activity phases, existing-data evidence, and a real Storage UI. Browser E2E now proves degraded Linux MD RAID5 replacement review binds the exact array UUID, data-bearing replacement warning, `I AGREE`, durable progress and succeeded result; hosted Ubuntu loop runs preserve hashes and pool/array identity. Physical-vendor certification remains separate",See roadmap acceptance evidence,,,Matching physical provider/hardware execution,,"Implement and prove: Rebuild a failed member without changing the Storage Group namespace, using provider-specific recovery rather than a generic format action."
DRAIN-01,P1,Drain plan and preflight,,VERIFIED,"SOFTWARE VERIFIED — planner/API/UI, adversarial tests, and Linux CI pass",See roadmap acceptance evidence,"SOFTWARE VERIFIED — planner/API/UI, adversarial tests, and Linux CI pass",,None identified,,None; preserve with regression coverage
DRAIN-02,P1,Remove source from new-write placement,DRAIN-01,VERIFIED,SOFTWARE VERIFIED — atomic idempotent placement exclusion with operation/plan ownership,,,,None identified,,None; preserve with regression coverage
DRAIN-03,P1,Optional source read-only enforcement,DRAIN-02,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — exact-mount capability gate, fail-closed remount/readback, failure-safe restoration, and final read-only state executed on disposable Ubuntu ext4",,,,None identified,,Implement and prove: Apply and verify read-only behavior only where the selected workflow supports it safely.
DRAIN-04,P1,Checkpointed mover,DRAIN-03,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — descriptor-relative no-follow copy, atomic no-replace publish, durable per-file checkpoints on loop-backed ext4",,,,None identified,,Implement and prove: Copy through durable checkpoints and temporary destinations without deleting the verified source.
DRAIN-05,P1,Capacity and destination-health gates,DRAIN-04,VERIFIED,"SOFTWARE VERIFIED — preflight and execution revalidate capacity, health, paths, stable identity, and filesystem identity",,,,None identified,,None; preserve with regression coverage
DRAIN-06,P1,ARR active-write awareness and windows,DRAIN-05,VERIFIED,SOFTWARE VERIFIED — ARR write-sensitive preflight/runtime pauses plus fresh-per-resume maintenance windows implemented; broader provider activity coverage remains under MEDIA-04,,,,None identified,,None; preserve with regression coverage
DRAIN-07,P1,"Pause, resume, and restart recovery",DRAIN-06,VERIFIED IN ISOLATION,VERIFIED IN ISOLATION — UI/API pause/resume plus manifest-preserving stale-worker recovery executed on Linux,See roadmap acceptance evidence,,,None identified,,"Implement and prove: Persist resumable state across cancellation boundaries, browser loss, worker restart, and service restart."
DRAIN-08,P1,Bandwidth and scheduling controls,DRAIN-07,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — durable scheduling/windows, bounded single-mover concurrency, 16 MiB/s rate limit, and temporary background `ionice` policy with worker-default restoration executed on disposable Ubuntu ext4",,,,None identified,,"Implement and prove: Enforce bounded concurrency, bandwidth, IO priority, and operator scheduling."
DRAIN-09,P1,Verification modes,DRAIN-08,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — FAST, BLAKE3 ACCURATE, and two-pass BLAKE3 PARANOID are implemented with SHA-256 compatibility for existing immutable jobs; ACCURATE BLAKE3 executed on disposable Ubuntu ext4 with independent SHA-256 before/after evidence",,,,None identified,,"Implement and prove: Implement FAST, ACCURATE/BLAKE3 where available, and PARANOID full-read verification with explicit evidence."
DRAIN-10,P1,Finalize and namespace reconciliation,DRAIN-09,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — verified-only deletion, read-only/retired transitions, unchanged namespace and hashes executed on Linux",,,,None identified,,Implement and prove: Remove/decommission only after verification and preserve stable ARR/share paths.
DRAIN-11,P1,Drain reports and cost UX,DRAIN-10,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — real phases/files/bytes/rate/ETA plus durable algorithm, verification-pass, elapsed-time, measured-average, bandwidth, I/O-priority, namespace, and cleanup evidence executed on disposable Ubuntu ext4 and exposed in the final UI report",See roadmap acceptance evidence,,,None identified,,"Implement and prove: Show files/bytes/errors, checkpoints, verification evidence, and measured/estimated CPU and IO cost."
DRAIN-12,P1,Drain failure matrix,DRAIN-11,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — Linux CI `32658020249` covers disappearing roots and BLAKE3 mismatch; capacity/full, identity, collision, ARR conflict, pause/resume, and worker-crash recovery are covered, while the disposable ext4 lifecycle remains evidenced by storage run `32658020275`",,"VERIFIED IN ISOLATION — Linux CI `32658020249` covers disappearing roots and BLAKE3 mismatch; capacity/full, identity, collision, ARR conflict, pause/resume, and worker-crash recovery are covered, while the disposable ext4 lifecycle remains evidenced by storage run `32658020275`",,None identified,,"Implement and prove: Test full destination, disappearing source/destination, ARR conflict, checksum failure, pause/resume, and worker crash."
EXPAND-01,P1,Expansion discovery trigger,,VERIFIED,SOFTWARE VERIFIED — snapshot-bound read-only assessment excludes assigned/retired/stale/system disks and refreshes automatically after discovery,,,,None identified,,None; preserve with regression coverage
EXPAND-02,P1,Current-state analysis,EXPAND-01,VERIFIED,"SOFTWARE VERIFIED — groups/backends/health, namespace capacity, distinct-member utilization spread, configured parity, and pool/tier capabilities are reported; a unique logical-storage mapping now correlates bounded persisted capacity history into an evidence-based forecast and reports ambiguity/insufficient history honestly",,,,None identified,,None; preserve with regression coverage
EXPAND-03,P1,mergerFS and SnapRAID candidates,EXPAND-02,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — bounded SnapRAID discovery maps an exact config to mergerFS branches; role/digest-bound data and parity additions preserve correct capacity semantics and failure state; hosted Ubuntu run `32660386715` added a real loop-backed data member, then a second parity level with the required full rebuild, and independently verified synchronized status",,"VERIFIED IN ISOLATION — bounded SnapRAID discovery maps an exact config to mergerFS branches; role/digest-bound data and parity additions preserve correct capacity semantics and failure state; hosted Ubuntu run `32660386715` added a real loop-backed data member, then a second parity level with the required full rebuild, and independently verified synchronized status",,None identified,,"Implement and prove: Generate add-member, data-disk, and parity-expansion candidates with restrictions."
EXPAND-04,P1,"ZFS, new-pool, cache, reserve, and Linux MD candidates",EXPAND-03,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — matched mirror/RAIDZ1/2/3 pools, download tiers, reserve/release, matching-vdev ZFS expansion, and exact new Linux MD RAID1/5/6/10 candidates are implemented. MD capacity uses matched member capacity and level-specific formulas, odd RAID10 is rejected, and no generic MD reshape is promised. Hosted Ubuntu ZFS execution preserved the pool GUID; unavailable or ambiguous capabilities remain fail-closed",See roadmap acceptance evidence,,,None identified,,Implement and prove: Generate supported vdev/pool/tier/reserve/array choices without inventing executable capability.
EXPAND-05,P1,Capacity and protection calculations,EXPAND-04,VERIFIED,"SOFTWARE VERIFIED — candidate-specific raw/usable methodology, protection, restrictions, and migration work rendered in UI",See roadmap acceptance evidence,,,None identified,,None; preserve with regression coverage
EXPAND-06,P1,Guided and Advanced expansion wizard,EXPAND-05,VERIFIED,"SOFTWARE VERIFIED — browser E2E proves snapshot-bound mergerFS, RAIDZ2, and Linux MD RAID10 choices open the real wizard with the complete disk set and exact selected geometry; existing ZFS expansion exposes the exact pool, mount, new members, and immutable matching geometry",See roadmap acceptance evidence,,,None identified,,None; preserve with regression coverage
EXPAND-07,P1,Immutable expansion apply,EXPAND-06,VERIFIED,"SOFTWARE VERIFIED — every candidate carries candidate/disk/target/configuration/snapshot bindings; browser E2E proves exact candidate selection survives review and durable mergerFS reconciliation, while Linux MD plans reject altered level/member count and existing ZFS revalidates live GUID and canonical topology before irreversible execution",See roadmap acceptance evidence,,,None identified,,None; preserve with regression coverage
EXPAND-08,P1,Expansion tests,EXPAND-07,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — deterministic planner/API/browser tests cover mixed sizes, subset selection, critical-health exclusion, parity needs, ZFS geometry restrictions, stale discovery, unsupported tools, system/existing-data exclusion, targeting and reservation conflicts; hosted Ubuntu runs `32660386715`, `32661927103`, and `32672472428` execute SnapRAID data/parity, matching-vdev ZFS and the extended loop-backed expansion matrix on disposable storage",See roadmap acceptance evidence,"VERIFIED IN ISOLATION — deterministic planner/API/browser tests cover mixed sizes, subset selection, critical-health exclusion, parity needs, ZFS geometry restrictions, stale discovery, unsupported tools, system/existing-data exclusion, targeting and reservation conflicts; hosted Ubuntu runs `32660386715`, `32661927103`, and `32672472428` execute SnapRAID data/parity, matching-vdev ZFS and the extended loop-backed expansion matrix on disposable storage",,None identified,,"Implement and prove: Cover mixed sizes, health blockers, parity needs, ZFS restrictions, stale discovery, and unsupported tools."
IMPORT-01,P2,Foreign signature detection,,VERIFIED,"SOFTWARE VERIFIED — authenticated assessment recognizes persisted ext4/XFS/Btrfs/NTFS/exFAT and MD/LVM/ZFS member signatures, groups stable member UUIDs, and applies the reviewed Synology/QNAP/generic-NAS evidence adapters from IMPORT-07; weak or incomplete evidence intentionally reports origin as Not reported",See roadmap acceptance evidence,,,None identified,,None; preserve with regression coverage
IMPORT-02,P2,Read-only foreign safety and confidence,IMPORT-01,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — standalone filesystems have immutable snapshot/device/signature-bound previews, exact approval, typed privileged execution, fresh identity/signature/activation checks, provider-specific no-recovery read-only mounts, verified `findmnt` evidence, bounded no-symlink inventory, guaranteed detach, durable Activity reports, API/UI/browser states, and adversarial tests; Ubuntu run `32674912616` executed the production path on a disposable ext4 loop and retained evidence for read-only access, two files, zero read errors, no mutation, no persistent/remaining mount, private-path removal, and a succeeded journal",See roadmap acceptance evidence,"VERIFIED IN ISOLATION — standalone filesystems have immutable snapshot/device/signature-bound previews, exact approval, typed privileged execution, fresh identity/signature/activation checks, provider-specific no-recovery read-only mounts, verified `findmnt` evidence, bounded no-symlink inventory, guaranteed detach, durable Activity reports, API/UI/browser states, and adversarial tests; Ubuntu run `32674912616` executed the production path on a disposable ext4 loop and retained evidence for read-only access, two files, zero read errors, no mutation, no persistent/remaining mount, private-path removal, and a succeeded journal",,None identified,,Implement and prove: Default foreign media to non-destructive read-only inspection with evidence-based type/origin confidence.
IMPORT-03,P2,MD/LVM/ZFS foreign assembly preview,IMPORT-02,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — immutable snapshot/member/signature-bound reviews use `mdadm --examine --export`, LVM `--readonly --foreign --devices`, or offline `zdb -l` probes; MD/LVM completeness is reported only from provider evidence, ZFS mountability and inactive-stack health remain honestly Not reported, activation/import commands are absent, the authenticated API is scoped/audited, and the real Storage UI/browser flow exposes no activation control. Ubuntu 24.04 run `32676211243` executed stopped RAID6, inactive two-PV LVM, and exported four-member ZFS profiles on disposable loops, proving complete MD/LVM membership, stable ZFS pool identity, zero activation, and zero preview mutation.",See roadmap acceptance evidence,"VERIFIED IN ISOLATION — immutable snapshot/member/signature-bound reviews use `mdadm --examine --export`, LVM `--readonly --foreign --devices`, or offline `zdb -l` probes; MD/LVM completeness is reported only from provider evidence, ZFS mountability and inactive-stack health remain honestly Not reported, activation/import commands are absent, the authenticated API is scoped/audited, and the real Storage UI/browser flow exposes no activation control. Ubuntu 24.04 run `32676211243` executed stopped RAID6, inactive two-PV LVM, and exported four-member ZFS profiles on disposable loops, proving complete MD/LVM membership, stable ZFS pool identity, zero activation, and zero preview mutation.",,None identified,,Implement and prove: Identify members and mountability without activating or importing automatically.
IMPORT-04,P2,Unraid disk and parity classification,IMPORT-03,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — a bounded read-only Unraid runtime-state exporter and persisted assignment-provenance model match exact stable serial/WWN identity, expose authenticated/audited load/replace/forget APIs and a real Storage UI, reject role/slot/identity conflicts, identify assignment-backed data/parity, keep compatible standalone filesystems only suspected data, keep filesystem-free capacity evidence only suspected parity, and never claim parity validity or reuse; hosted Ubuntu run `32677914796` classified two disposable loops with identified data/parity roles and preserved suspected-only semantics without assignment evidence",See roadmap acceptance evidence,"VERIFIED IN ISOLATION — a bounded read-only Unraid runtime-state exporter and persisted assignment-provenance model match exact stable serial/WWN identity, expose authenticated/audited load/replace/forget APIs and a real Storage UI, reject role/slot/identity conflicts, identify assignment-backed data/parity, keep compatible standalone filesystems only suspected data, keep filesystem-free capacity evidence only suspected parity, and never claim parity validity or reuse; hosted Ubuntu run `32677914796` classified two disposable loops with identified data/parity roles and preserved suspected-only semantics without assignment evidence",,None identified,,"Implement and prove: Recognize independent data disks and distinguish identified, suspected, and unknown parity."
IMPORT-05,P2,Unraid read-only inventory,IMPORT-04,VERIFIED,"SOFTWARE VERIFIED — each independently readable data candidate exposes its filesystem, stable member, capacity, evidence warnings/blockers, and honest Not reported health before a bounded read-only inspection; successful executor reports persist in Activity and reappear in the real Storage UI with file/byte counts, largest file, extensions, collisions, errors, and completion time, while a changed hardware snapshot marks the report stale rather than silently reusing it; real browser coverage proves report reconstruction after closing the live result, and Ubuntu executor evidence exists for the same production read-only filesystem path",See roadmap acceptance evidence,,,None identified,,None; preserve with regression coverage
IMPORT-06,P2,Unraid migration engine,IMPORT-05,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — migration preview requires a current complete error-free read-only inventory, refuses parity, binds stable source evidence and an active managed destination, revalidates identity/signature/free space, mounts privately read-only, checkpoints each file, preserves relative paths, stops before overwriting or optionally reuses only identical files, verifies with BLAKE3 or size/mtime, supports pause/resume and stale-worker recovery, retains the source, and exposes real progress/reporting in Activity and Storage; hosted Ubuntu run `32680220818` executed the production path on a disposable ext4 loop, recovered a verified stale private mount, refused a collision, matched source/destination hashes, verified every entry, detached the source, and retained evidence SHA-256 `3C04FF39E9715276E5B6530E410C2F8D4E2D5E8966676BFD4BEEC7C8B360AA70`",,"VERIFIED IN ISOLATION — migration preview requires a current complete error-free read-only inventory, refuses parity, binds stable source evidence and an active managed destination, revalidates identity/signature/free space, mounts privately read-only, checkpoints each file, preserves relative paths, stops before overwriting or optionally reuses only identical files, verifies with BLAKE3 or size/mtime, supports pause/resume and stale-worker recovery, retains the source, and exposes real progress/reporting in Activity and Storage; hosted Ubuntu run `32680220818` executed the production path on a disposable ext4 loop, recovered a verified stale private mount, refused a collision, matched source/destination hashes, verified every entry, detached the source, and retained evidence SHA-256 `3C04FF39E9715276E5B6530E410C2F8D4E2D5E8966676BFD4BEEC7C8B360AA70`",,None identified,,"Implement and prove: Preserve relative paths, resolve collisions explicitly, verify copies, and never claim unproven parity reuse."
IMPORT-07,P2,"Synology, QNAP, and generic NAS profiles",IMPORT-06,VERIFIED,"SOFTWARE VERIFIED — generic Linux MD/LVM/ZFS stacks retain their real provider identity without a vendor guess; a bounded read-only source exporter, strict evidence schema, audited API and Storage UI identify Synology DSM, QNAP QTS/QuTS, or Generic Linux NAS only when every candidate member matches the source runtime export by stable identity; partial, ambiguous, duplicate, marker-conflicting, and Unraid-conflicting evidence fails closed to Not reported; hosted regression run `32689415751` passed",See roadmap acceptance evidence,"SOFTWARE VERIFIED — generic Linux MD/LVM/ZFS stacks retain their real provider identity without a vendor guess; a bounded read-only source exporter, strict evidence schema, audited API and Storage UI identify Synology DSM, QNAP QTS/QuTS, or Generic Linux NAS only when every candidate member matches the source runtime export by stable identity; partial, ambiguous, duplicate, marker-conflicting, and Unraid-conflicting evidence fails closed to Not reported; hosted regression run `32689415751` passed",,None identified,,None; preserve with regression coverage
IMPORT-08,P2,Archive source discovery,IMPORT-07,VERIFIED,"SOFTWARE VERIFIED — persisted removable/USB/MMC/SD/FireWire evidence classifies an external source without mounting it; Storage presents Archive Intake and keeps formatting/automatic mount disabled; backend, component, build, and Chromium coverage pass",,,,None identified,,None; preserve with regression coverage
IMPORT-09,P2,Archive preview analysis,IMPORT-08,VERIFIED,"SOFTWARE VERIFIED — the durable bounded read-only inventory reports files/bytes/largest item/time extrema/extensions/errors/case and Unicode collisions, top-level entries and permission-anomaly counts; reviewed migration capacity remains bound to the inventory total and managed-destination reserve",,,,None identified,,None; preserve with regression coverage
IMPORT-10,P2,Archive selection and filters,IMPORT-09,VERIFIED,"SOFTWARE VERIFIED — immutable schema-v2 plans support everything, explicit top-level selections, extension filters, and relative include/exclude patterns; traversal/control characters and unbounded inputs fail closed, the UI exposes only real inventory entries, and the worker rebuilds the source inventory and exact selected capacity before copying",See roadmap acceptance evidence,,,None identified,,None; preserve with regression coverage
IMPORT-11,P2,Archive durable intake and report,IMPORT-10,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — the production worker checkpoints only reviewed selections, proves exact capacity before the first write, preserves relative paths, stops/reuses collisions explicitly, verifies content, supports pause/resume/restart, retains the source and records selection plus manifest totals in Activity; hosted Ubuntu run `32681808734` executed full and selected-folder copies on a disposable read-only ext4 loop, copied only `Movies/sample.mkv` for the selection, and retained evidence SHA-256 `71D476563231D6F8C62B62AD141022D7169BD8016A7DC667118F6049EB6B502B`",,"VERIFIED IN ISOLATION — the production worker checkpoints only reviewed selections, proves exact capacity before the first write, preserves relative paths, stops/reuses collisions explicitly, verifies content, supports pause/resume/restart, retains the source and records selection plus manifest totals in Activity; hosted Ubuntu run `32681808734` executed full and selected-folder copies on a disposable read-only ext4 loop, copied only `Movies/sample.mkv` for the selection, and retained evidence SHA-256 `71D476563231D6F8C62B62AD141022D7169BD8016A7DC667118F6049EB6B502B`",,None identified,,"Implement and prove: Copy, checkpoint, verify, resolve collisions, and produce a final manifest/report."
IMPORT-12,P2,Foreign/import integration tests,IMPORT-11,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — deterministic tests cover malformed/ambiguous layouts, signature drift, unexpected read-write state, detach failure, bounded inventory, symlink exclusion, authorization/idempotency, collision refusal and restart recovery; hosted Ubuntu CI `32681808664` injects an explicit source-read failure through the production safe copier, proves no destination file is published and the durable operation resumes, while isolated run `32681808734` proves real ext4 inspection/migration, Unraid classification, source retention, exact hashes, selected-folder exclusion, pause/resume, stale-mount recovery and final detach",,"VERIFIED IN ISOLATION — deterministic tests cover malformed/ambiguous layouts, signature drift, unexpected read-write state, detach failure, bounded inventory, symlink exclusion, authorization/idempotency, collision refusal and restart recovery; hosted Ubuntu CI `32681808664` injects an explicit source-read failure through the production safe copier, proves no destination file is published and the durable operation resumes, while isolated run `32681808734` proves real ext4 inspection/migration, Unraid classification, source retention, exact hashes, selected-folder exclusion, pause/resume, stale-mount recovery and final detach",,None identified,,"Implement and prove: Exercise disposable filesystems, Unraid-like disks, malformed layouts, collisions, read errors, and restart recovery."
HW-01,P1,SMART short/long orchestration,,VERIFIED,"SOFTWARE VERIFIED — bounded `smartctl -j -c` capability detection exposes supported/unsupported/not-reported plus drive-reported durations. Storage provides exact Run Short Test and Run Long Test controls; browser E2E proves short/extended immutable plans, non-destructive consent behavior, drive-reported duration/source and durable Activity history. The live bench correctly disables both because passthrough support is Not reported; physical execution remains HW-16",See roadmap acceptance evidence,"SOFTWARE VERIFIED — bounded `smartctl -j -c` capability detection exposes supported/unsupported/not-reported plus drive-reported durations. Storage provides exact Run Short Test and Run Long Test controls; browser E2E proves short/extended immutable plans, non-destructive consent behavior, drive-reported duration/source and durable Activity history. The live bench correctly disables both because passthrough support is Not reported; physical execution remains HW-16",,Matching physical provider/hardware execution,,None; preserve with regression coverage
